station,postcode,force,latitude,longitude,pressure,risk,main_demand_profile,forecast_trend_pct,predicted_severity
St Annes Street Police Station,L3 3HJ,Merseyside Police,53.417,-2.982,2.85,Orange,Property investigation demand,0.6,2970
Birkenhead Police Station,CH41 5EU,Merseyside Police,53.391,-3.026,2.48,Orange,Retail and theft demand,1.1,2715
Huyton Police Station,L36 9XU,Merseyside Police,53.409,-2.843,2.15,Orange,Property investigation demand,0.0,2510
St Helens Police Station,WA10 1TG,Merseyside Police,53.454,-2.736,2.38,Orange,Retail and theft demand,0.5,2855
Southport Police Station,PR9 0LL,Merseyside Police,53.648,-3.005,2.05,Orange,Property investigation demand,1.0,2650
Admiral Street Police Station,L8 8JN,Merseyside Police,53.387,-2.973,1.73,Orange,Retail and theft demand,-0.1,2445
Wallasey Police Station,CH44 1DA,Merseyside Police,53.423,-3.057,1.95,Orange,Property investigation demand,0.4,2790
Kirkby Police Station,L32 8RF,Merseyside Police,53.481,-2.889,1.62,Yellow,Retail and theft demand,0.9,2585
Newton-Le-Willows Police Station,WA12 9BW,Merseyside Police,53.454,-2.631,1.3,Yellow,Property investigation demand,-0.2,2380
Marsh Lane Police Station,L20 5BW,Merseyside Police,53.467,-3.004,1.52,Yellow,Retail and theft demand,0.3,2725
